('the', 'DET')43627
('shelf', 'NOUN')6
('processing', 'VERB')11
('dyeing', 'VERB')1
('waxing', 'VERB')1
('gassing', 'VERB')1
('ripening', 'NOUN')1
('egg', 'NOUN')10
("plant's", 'NOUN')2
('poison', 'NOUN')6
('sprays', 'NOUN')1
('consumer', 'NOUN')18
('nutritious', 'ADJ')1
('reducer', 'NOUN')1
('versatility', 'NOUN')3
('poisons', 'NOUN')2
('nutritional', 'ADJ')3
('nutrients', 'NOUN')5
('unsaturated', 'ADJ')2
('fatty', 'ADJ')3
('acids', 'NOUN')4
('circulatory', 'ADJ')1
('protein', 'NOUN')9
('appreciable', 'ADJ')3
('vitamins', 'NOUN')6
('one-tenth', 'NOUN')4
('vitamin', 'NOUN')5
('thiamin', 'NOUN')1
('riboflavin', 'NOUN')1
('phosphorus', 'NOUN')1
('minerals', 'NOUN')11
('trace', 'NOUN')10
('refrigeration', 'NOUN')11
('comprised', 'VERB')5
('diets', 'NOUN')2
('1/2', 'NUM')12
('dietary', 'ADJ')6
('fat', 'NOUN')5
('consumption', 'NOUN')13
('fire', 'VERB')10
('pulsating', 'VERB')2
('vibration', 'NOUN')3
('clutches', 'VERB')1
('pit', 'NOUN')3
('fearsome', 'ADJ')1
('ballistic', 'ADJ')16
('stealth', 'NOUN')4
('merciless', 'ADJ')3
('swiftness', 'NOUN')1
('terrifying', 'ADJ')1
('bewitched', 'VERB')2
('attacker', 'NOUN')5
('reason', 'VERB')1
('possession', 'NOUN')10
("opponent's", 'NOUN')2
('defenseless', 'ADJ')2
('spare', 'VERB')5
("victim's", 'NOUN')3
('subjugation', 'NOUN')2
('devastated', 'VERB')2
('peril', 'NOUN')2
('vulnerability', 'NOUN')7
('effect', 'VERB')5
('reprisal', 'NOUN')2
('appallingly', 'ADV')1
('city-trading', 'NOUN')1
('icbms', 'NOUN')2
('capability', 'NOUN')12
("attacker's", 'NOUN')1
("enemy's", 'NOUN')6
('committing', 'VERB')5
("missile's", 'NOUN')1
('trajectory', 'NOUN')2
('location', 'NOUN')43
('vessels', 'NOUN')11
('passive', 'ADJ')6
('gravest', 'ADJ')1
('detect', 'VERB')8
('select', 'VERB')8
('compute', 'VERB')4
('ballistics', 'NOUN')1
('instantaneously', 'ADV')1
('icbm', 'NOUN')3
('lowered', 'VERB')15
('self-protection', 'NOUN')1
('mobility', 'NOUN')4
('defenses', 'NOUN')10
('perfected', 'VERB')4
('exceedingly', 'ADV')4
('kill', 'NOUN')3
('imprecisely', 'ADV')3
('spacecraft', 'NOUN')3
('cataclysmic', 'ADJ')1
('cinders', 'NOUN')2
('long-endurance', 'NOUN')1
('rail-mobile', 'ADJ')1
('b-70', 'NOUN')6
('railway-based', 'ADJ')1
('multimegaton', 'ADJ')1
('employing', 'VERB')5
('trains', 'NOUN')8
('geographic', 'ADJ')2
('degrade', 'VERB')1
('hardened', 'VERB')6
('survivability', 'NOUN')1
('minuteman', 'NOUN')2
('atlas', 'NOUN')12
('titan', 'NOUN')3
('airborne', 'ADJ')5
('skybolt', 'NOUN')1
('duration', 'NOUN')10
('airfields', 'NOUN')6
('doomed', 'VERB')6
('one-shot', 'ADJ')2
('eliminated', 'VERB')14
('bomb-proof', 'ADJ')1
('hangars', 'NOUN')1
('3,000-foot', 'NOUN')1
('runways', 'NOUN')4
('disperse', 'VERB')2
('propulsions', 'NOUN')1
('thrust-to-weight', 'ADJ')3
('ratio', 'NOUN')17
('vertical-takeoff-and-landing', 'NOUN')1
('vtol', 'NOUN')2
('shelters', 'NOUN')13
('withstand', 'VERB')2
('3,000-foot', 'ADJ')1
('obsolete', 'ADJ')4
('propulsion', 'NOUN')4
('hears', 'VERB')5
('powerplants', 'NOUN')1
('takeoff', 'NOUN')2
('12-to-one', 'NUM')1
('supersonic', 'ADJ')4
('15-to-one', 'ADJ')1
('weighing', 'VERB')5
('vertically', 'ADV')2
('sac', 'NOUN')8
('dispersion', 'NOUN')3
('dominance', 'NOUN')6
('selective', 'ADJ')10
('reconnaissance', 'NOUN')7
('disarm', 'VERB')2
('post-attack', 'ADJ')4
('samos', 'NOUN')2
('semiautomatic', 'ADJ')1
('30-minute', 'ADJ')1
('overseas', 'ADJ')5
('pre-attack', 'ADJ')1
('favorably', 'ADV')11
('priceless', 'ADJ')2
('infrared', 'ADJ')9
('photography', 'NOUN')4
('kiloton', 'NOUN')1
('psi', 'NOUN')2
('overpressure', 'NOUN')1
('one-kiloton', 'NOUN')1
('1/20th', 'ADJ')1
('nagasaki', 'NOUN')1
('accuracy', 'NOUN')23
('side-looking', 'ADJ')1
('radar', 'NOUN')15
('taxi-ways', 'NOUN')1
('spans', 'NOUN')2
('keen', 'ADJ')5
("schubert's", 'NOUN')3
('trout', 'NOUN')3
('infectious', 'ADJ')3
('classifiers', 'NOUN')1
('quintets', 'NOUN')1
('opus', 'NOUN')1
('serenade', 'NOUN')1
('dual', 'ADJ')5
('renditions', 'NOUN')3
('contrabass', 'NOUN')1
('discreetly', 'ADV')1
('dressed', 'VERB')22
("clown's", 'NOUN')1
('attire', 'NOUN')3
('divergent', 'ADJ')3
('marathon', 'NOUN')1
("angel's", 'NOUN')3
('reissue', 'NOUN')2
('schnabel-pro', 'NOUN')1
('arte', 'NOUN')2
('sparkling', 'ADJ')1
('editions', 'NOUN')6
('colh', 'NOUN')1
('artur', 'NOUN')1
('schnabel', 'NOUN')6
('schubert-beethoven-mozart', 'NOUN')1
('performer', 'NOUN')3
('clifford', 'NOUN')2
('curzon', 'NOUN')1
('glazer', 'NOUN')1
('adrian', 'NOUN')4
('aeschbacher', 'NOUN')1
('babin', 'NOUN')2
('sheds', 'VERB')3
('pedagogical', 'ADJ')1
('pianistic', 'ADJ')1
('schnabelian', 'ADJ')1
('differs', 'VERB')6
("schnabel's", 'NOUN')6
("student's", 'NOUN')2
('structural', 'ADJ')20
('rhythmic', 'ADJ')3
('vibrancy', 'NOUN')2
('impetuous', 'ADJ')3
('stamp', 'VERB')3
('delicacy', 'NOUN')3
('radiant', 'ADJ')4
('serious-minded', 'ADJ')1
('strait-laced', 'ADJ')1
('pianism', 'NOUN')1
('bristles', 'VERB')1
('markings', 'NOUN')1
('superlatives', 'NOUN')1
('pro', 'IN')6
("arte's", 'NOUN')1
('regret', 'VERB')4
('collaborate', 'VERB')2
('interpretative', 'ADJ')1
('indulgent', 'ADJ')2
('swoops', 'NOUN')1
('twenty-five-year-old', 'ADJ')1
('forellen', 'NOUN')1
('splicing', 'NOUN')1
("curzon's", 'NOUN')3
('cite', 'VERB')6
('delicious', 'ADJ')3
('laendler', 'NOUN')1
('viennese', 'ADJ')1
('gossamer', 'NOUN')1
('shading', 'NOUN')2
('finicky', 'ADJ')1
('octet', 'NOUN')1
('expertise', 'NOUN')3
('compliments', 'NOUN')2
('johann', 'NOUN')1
('krumpp', 'NOUN')1
('scrawny', 'ADJ')1
('tottering', 'VERB')1
('hilarity', 'NOUN')1
('glazer-fine', 'NOUN')1
('concert-disc', 'NOUN')1
('lucidity', 'NOUN')1
("fleisher's", 'NOUN')1
("aeschbacher's", 'NOUN')1
('locating', 'VERB')8
('hephzibah', 'NOUN')1
('menuhin-amadeus', 'NOUN')1
('babin-festival', 'NOUN')1
('superlative', 'ADJ')2
('unimaginative', 'ADJ')1
('badura-skoda-vienna', 'NOUN')1
('konzerthaus', 'NOUN')1
('demus-schubert', 'NOUN')1
('deutsche', 'ADJ')1
('grammophon', 'NOUN')1
('warm-toned', 'ADJ')1
('pleasantly', 'ADV')4
('slack', 'ADJ')3
('tensionless', 'ADJ')1
('helmut', 'NOUN')1
('roloff', 'NOUN')1
('last-mentioned', 'ADJ')1
('telefunken', 'NOUN')1
('bargain-priced', 'ADJ')1
('sells', 'VERB')6
('$2.98', 'NOUN')1
('magnificence', 'NOUN')1
('greatness', 'NOUN')6
('diminished', 'VERB')5
("everyone's", 'DET')2
('purported', 'VERB')3
('indistinguishable', 'ADJ')3
('milestones', 'NOUN')1
('verisimilitude', 'NOUN')1
('re-creation', 'NOUN')1
('original', 'NOUN')3
('caruso', 'NOUN')2
("muck's", 'NOUN')1
('toscanini', 'NOUN')1
('fidelity', 'NOUN')6
('multiplied', 'VERB')4
('tenfold', 'ADV')1
('disillusioning', 'VERB')1
('innovations', 'NOUN')3
('survived', 'VERB')10
('rehearing', 'VERB')1
('spotting', 'VERB')1
('associate', 'VERB')7
('environments', 'NOUN')4
('dress', 'VERB')6
('informally', 'ADV')3
('alteration', 'NOUN')3
('pronounced', 'VERB')7
('quantitatively', 'ADV')2
('fitting', 'NOUN')1
('fractional', 'ADJ')1
('imitation', 'NOUN')3
("command's", 'NOUN')1
('scheherazade', 'NOUN')2
('easiest', 'ADJ')4
('reproduces', 'VERB')2
('steinberg', 'NOUN')3
('minimal', 'ADJ')4
('engineering', 'NOUN')5
('obtrudes', 'VERB')1
('frequency', 'NOUN')18
('peaky', 'ADJ')1
('highs', 'NOUN')1
('eliminates', 'VERB')2
('contributing', 'VERB')8
('aesthetic', 'ADJ')19
('scrapes', 'VERB')1
('clicks', 'NOUN')1
('noises', 'NOUN')2
('incidental', 'ADJ')2
('acoustically', 'ADV')1
('reverberation', 'NOUN')1
('sonority', 'NOUN')1
('intrudes', 'VERB')1
('quasi-performer', 'NOUN')1
('timbre', 'NOUN')2
('resonance', 'NOUN')13
('discounting', 'VERB')1
('faithfully', 'ADV')2
('undertow', 'NOUN')1
('pacing', 'NOUN')3
('presto', 'ADJ')1
('ma', 'CONJ')2
('non', 'ADV')5
('assai', 'ADV')1
('scherzo', 'NOUN')1
('shock', 'VERB')2
('allegro', 'ADJ')1
('con', 'IN')4
('spirito', 'NOUN')3
('sings', 'VERB')1
('dominate', 'VERB')3
('invites', 'VERB')4
('orchestration', 'NOUN')2
('giselle', 'NOUN')2
("feyer's", 'NOUN')1
('four-sided', 'ADJ')1
('lp', 'NOUN')1
('horrid', 'ADJ')1
('charms', 'NOUN')1
('vanish', 'VERB')3
("fistoulari's", 'NOUN')1
('ultravehement', 'ADJ')1
('brute', 'NOUN')4
('chilly', 'ADJ')2
('suave', 'ADJ')2
('sentimentality', 'NOUN')1
('brilliance', 'NOUN')2
('doctored', 'VERB')2
('super-high', 'ADJ')1
('overpowered', 'VERB')1
('penultimate', 'ADJ')1
("wolff's", 'NOUN')1
('abridgment', 'NOUN')1
('cleaner', 'ADJ')2
('razor-edged', 'ADJ')1
('monophonic', 'ADJ')1
('big-stage', 'NOUN')1
('tolerable', 'ADJ')2
('sd', 'NOUN')1
('kc', 'NOUN')4
('forty-six', 'NUM')1
('juniors', 'NOUN')29
('dogs', 'NOUN')37
('chmn.', 'NOUN')1
("juniors'", 'NOUN')1
('address', 'VERB')6
('long', 'NOUN')9
('qualifying', 'VERB')1
('37th', 'ADJ')1
('betsey', 'NOUN')2
('ch.', 'NOUN')4
('noranda', 'NOUN')1
('home-bred', 'ADJ')1
('ceases', 'VERB')3
('sensing', 'VERB')5
('flash-bulbs', 'NOUN')1
('photographers', 'NOUN')3
('livid', 'ADJ')1
('maybe', 'ADV')65
('pony', 'NOUN')7
('barcus', 'NOUN')4
("ass'n", 'NOUN')2
('thoroughbred', 'NOUN')1
('resume', 'NOUN')1
("barcus'", 'NOUN')1
('kennel', 'NOUN')3
('4:45', 'NUM')1
('steward', 'NOUN')2
('relax', 'VERB')7
('hone', 'NOUN')2
('judges', 'VERB')1
('handler', 'NOUN')6
('announcer', 'NOUN')1
('public-address', 'NOUN')1
('wins', 'NOUN')3
('sportsmen', 'NOUN')6
('campaigners', 'NOUN')2
('betty', 'NOUN')2
('ham', 'NOUN')9
('holyoke', 'NOUN')2
('setter', 'NOUN')2
("handlers'", 'NOUN')1
("ass'ns'", 'NOUN')1
('brumby', 'NOUN')2
('founder-originator', 'NOUN')1
('afghan', 'NOUN')2
('le', 'NOUN')2
('blanc', 'NOUN')1
('doberman', 'NOUN')1
('pinscher', 'NOUN')1
('2nd', 'ADJ')1
('hackmann', 'NOUN')1
('dachshund', 'NOUN')1
('marcmann', 'NOUN')1
('trapp', 'NOUN')1
('penna.', 'NOUN')1
('keeshond', 'NOUN')1
('7287', 'NUM')1
('percy', 'NOUN')2
('judging', 'VERB')7
('intermediates', 'NOUN')4
('overage', 'ADJ')1
('westchester', 'NOUN')1
('intermediate', 'ADJ')11
("class'", 'NOUN')1
('handlers', 'NOUN')2
('superintendents', 'NOUN')2
('licensed', 'VERB')5
('a.k.c.', 'NOUN')1
('airedale', 'NOUN')1
('terrier', 'NOUN')4
('kerry', 'NOUN')1
('donating', 'VERB')1
('trophies', 'NOUN')2
('breeds', 'NOUN')1
('topeka', 'NOUN')1
('kcs', 'NOUN')1
('grande', 'NOUN')2
('pointer', 'NOUN')2
('donate', 'VERB')1
('pointers', 'NOUN')1
('16,000', 'NUM')2
('danes', 'NOUN')1
('kitten', 'NOUN')3
('motels', 'NOUN')1
('signs', 'VERB')1
('proprieter', 'NOUN')2
('pets', 'NOUN')5
('puppies', 'NOUN')1
('replies', 'VERB')2
('full', 'ADV')5
('housebroken', 'VERB')1
('obedience-trained', 'ADJ')1
('bench', 'VERB')1
('veterinarians', 'NOUN')1
('wipe', 'VERB')6
('canine', 'NOUN')1
('examination', 'NOUN')20
('germs', 'NOUN')1
('lookout', 'NOUN')2
('outdoor', 'ADJ')25
('shooter', 'NOUN')4
('christmas-season', 'ADJ')1
('rack', 'NOUN')5
('hints', 'NOUN')5
('pick', 'NOUN')2
('handgun', 'NOUN')3
('strictest', 'ADJ')1
('deerstalker', 'NOUN')6
('arms-making', 'NOUN')1
("ruger's", 'NOUN')1
('$110', 'NOUN')2
('upsets', 'VERB')2
('high-velocity', 'NOUN')1
('quick-handling', 'ADJ')1
('fast-firing', 'ADJ')1
('timber', 'NOUN')14
('velocity', 'NOUN')19
('whitetail', 'NOUN')2
('ruger', 'NOUN')4
('safari', 'NOUN')1
('magnum', 'NOUN')11
('cartridge', 'NOUN')5
('antelope', 'NOUN')1
('grassed', 'VERB')1
('carbine', 'NOUN')6
('bagged', 'VERB')1
('reedbuck', 'NOUN')1
('kob', 'NOUN')1
('wart', 'NOUN')1
('deadliness', 'NOUN')1
('marlin', 'NOUN')2
('over/under', 'ADJ')3
('defunct', 'ADJ')1
('20-gauge', 'NOUN')1
('figuring', 'VERB')3
('regulate', 'VERB')1
('barrels', 'NOUN')4
('20-inch-barrel', 'NOUN')1
("marlin's", 'NOUN')2
('plagued', 'VERB')3
('six-inch', 'ADJ')1
('stray', 'VERB')3
('upsetting', 'VERB')1
('unjacketed', 'ADJ')1
('revolver', 'NOUN')11
('bullet', 'NOUN')25
('jacketed', 'VERB')3
('even', 'VERB')13
('opening-day', 'NOUN')1
('six-point', 'ADJ')1
('hop-skipped', 'VERB')1
('rhododendron', 'NOUN')1
('thicket', 'NOUN')1
('foreleg', 'NOUN')1
('240-grain', 'ADJ')2
('sapling', 'NOUN')2
('kills', 'NOUN')2
('standard-weight', 'NOUN')1
('compares', 'VERB')4
('scales', 'VERB')1
('6-1/2', 'NUM')1
('trigger', 'NOUN')10
('muzzle', 'NOUN')8
('1,850', 'NUM')1
('fps', 'NOUN')2
("hunter's", 'NOUN')1
('varmint', 'NOUN')2
('remington', 'NOUN')5
('wesson', 'NOUN')1
('top-quality', 'NOUN')2
('40-grain', 'ADJ')1
('2,460', 'NUM')1
('flattest', 'ADJ')1
('mid-range', 'NOUN')1
('100-yard', 'ADJ')1
('edible', 'ADJ')5
('squirrel', 'NOUN')1
('crow', 'NOUN')2
('flurry', 'NOUN')1
('intriguing', 'ADJ')3
('chambered', 'VERB')1
('rim-fires', 'NOUN')3
('adapter', 'NOUN')1
('convert', 'VERB')4
('small-game', 'NOUN')2
('plinking', 'VERB')1
('rim-fire', 'NOUN')2
('scoped', 'ADJ')1
("'61", 'NUM')4
('calibers', 'NOUN')3
('brands', 'NOUN')3
('bolt-action', 'NOUN')3
('high-power', 'NOUN')1
('fn', 'NOUN')2
('better-than-average', 'ADJ')1
('bores', 'NOUN')1
('$165', 'NOUN')1
('magnums', 'NOUN')3
('$170', 'NOUN')2
('shotgun-type', 'ADJ')1
('recoil', 'NOUN')4
('scopes', 'NOUN')1
("colt's", 'NOUN')1
('center-fire', 'NOUN')1
('sako', 'NOUN')1
('coltsman', 'NOUN')1
('custom', 'ADJ')2
('cartridges', 'NOUN')5
('sport-king', 'NOUN')1
('$45', 'NOUN')3
('well-made', 'ADJ')2
('rim-fire', 'ADJ')1
("1961's", 'NOUN')2
('kodiak', 'NOUN')3
('autoloader', 'NOUN')3
('$60', 'NOUN')1
('11-shot', 'ADJ')1
('hammerless', 'ADJ')1
('harvest', 'NOUN')5
('tubular', 'ADJ')2
('trouble-free', 'ADJ')1
('989', 'NUM')1
('seven-', 'NUM')1
('12-shot', 'ADJ')1
('mossberg', 'NOUN')1
('targo', 'NOUN')3
('rifle-shotgun', 'NOUN')1
('bore', 'NOUN')1
('unrifled', 'ADJ')1
('insert', 'NOUN')2
('rifled', 'VERB')1
('unscrew', 'VERB')1
('smoothbore', 'NOUN')1
('shotshells', 'NOUN')1
('clays', 'NOUN')1
('fastens', 'VERB')1
('mounting', 'NOUN')1
('seven-shot', 'ADJ')1
('repeater', 'NOUN')1
('340tr', 'NOUN')1
('single-shot', 'NOUN')5
('320tr', 'NOUN')1
('wing-shooting', 'NOUN')1
('35-foot', 'ADJ')1
('pellets', 'NOUN')1
("725's", 'NOUN')1
('$310', 'NOUN')1
('brakes', 'NOUN')3
('weigh', 'VERB')3
('shortened', 'VERB')6
('742', 'NOUN')1
('$140', 'NOUN')1
('$15', 'NOUN')2
('deluxe', 'ADJ')2
('18-1/2-inch', 'ADJ')1
('760', 'NUM')1
('pump', 'NOUN')8
('short-barrel', 'NOUN')1
('hunting', 'NOUN')3
('saddle', 'NOUN')17
('scabbard', 'NOUN')5
('742c', 'NOUN')1
('featherweight', 'NOUN')1
('top-tang', 'NOUN')2
('slide-lock', 'NOUN')1
('lever-action', 'NOUN')3
("beginners'", 'NOUN')2
('ithaca', 'NOUN')1
('$5', 'NOUN')4
('winchester', 'NOUN')10
('featuring', 'VERB')2
('drop-block', 'NOUN')1
('full-sized', 'ADJ')1
('122', 'NUM')2
('bolt', 'NOUN')5
('cocked', 'VERB')2
('514c', 'NOUN')1
('21-inch', 'ADJ')2
('12-1/2-inch', 'ADJ')2
('12-1/2', 'NUM')1
("beginner's", 'NOUN')2
('single-barrel', 'NOUN')1
('940y', 'NOUN')1
('$35', 'NOUN')1
('tang', 'NOUN')4
('gauge', 'NOUN')4
('pump-action', 'NOUN')2
("kid's", 'NOUN')11
('hunters', 'NOUN')5
('scattergun', 'NOUN')2
('shotguns', 'NOUN')1
('superposed', 'VERB')1
('$350', 'NOUN')1
('beavertail', 'NOUN')1
('fore', 'ADJ')1
('cushion', 'NOUN')2
('pad', 'NOUN')7
('barrel-wide', 'ADJ')1
('ventilated', 'VERB')1
('rib', 'NOUN')1
('sighting', 'NOUN')1
('colt', 'NOUN')4
('$90', 'NOUN')1
('firearms', 'NOUN')7
('finland', 'NOUN')1
('valmet', 'NOUN')1
('12-gauge', 'NOUN')3
('supermatic', 'NOUN')1
('optional', 'ADJ')4
('flite-king', 'NOUN')1
("mossberg's", 'NOUN')1
('$73.50', 'NOUN')1
('handguns', 'NOUN')2
('coupled', 'VERB')9
('livery', 'NOUN')3
('stable', 'NOUN')6
('prop.', 'NOUN')1
('1905', 'NUM')4
('fargo', 'NOUN')1
('creaking', 'VERB')4
('prospered', 'VERB')1
('horsedom', 'NOUN')1
('tallyho', 'NOUN')7
('cruz', 'NOUN')8
('upland', 'ADV')1
('redwood', 'NOUN')2
('orchards', 'NOUN')4
('glimpses', 'NOUN')2
('hell-for-leather', 'ADV')1
('lantern', 'NOUN')12
('ablaze', 'ADV')2
('southward', 'ADJ')1
('fashionable', 'ADJ')5
('trenchermen', 'NOUN')1
('complain', 'VERB')7
('tariff', 'NOUN')2
('breakfast', 'NOUN')31
('boulder', 'NOUN')9
('creek', 'NOUN')9
('gazing', 'VERB')6
('tiring', 'VERB')2
('halts', 'NOUN')1
('contrived', 'VERB')2
('hostler', 'NOUN')2
('rode', 'VERB')31
('hamper', 'NOUN')3
('filets', 'NOUN')1
('smoked', 'VERB')5
('sturgeon', 'NOUN')1
('sandwiches', 'NOUN')4
('pickled', 'VERB')3
('sangaree', 'NOUN')1
('botanists', 'NOUN')2
('bulbs', 'NOUN')2
('ferns', 'NOUN')1
('resin', 'NOUN')2
('fir', 'NOUN')1
('westerly', 'ADJ')1
('franciscan', 'ADJ')1
('roamed', 'VERB')1
('incense', 'NOUN')2
('yields', 'VERB')4
('fragrance', 'NOUN')1
('orphic', 'ADJ')1
('pastilles', 'NOUN')1
('malabar', 'NOUN')1
('botanical', 'ADJ')1
('motor', 'VERB')1
('breakfasted', 'VERB')1
("vernon's", 'NOUN')3
('adjoined', 'VERB')2
('adorned', 'VERB')1
('lithographs', 'NOUN')1
('harness', 'NOUN')4
('polish', 'NOUN')3
('liniments', 'NOUN')1
("ball's", 'NOUN')1
('boots', 'NOUN')10
('whiskey', 'NOUN')11
("hood's", 'NOUN')1
('sarsaparilla', 'NOUN')1
('patent', 'NOUN')29
('medicines', 'NOUN')5
('blacking', 'NOUN')1
('chewing', 'VERB')8
('hissing', 'VERB')1
("manning's", 'NOUN')4
('trot', 'VERB')1
('draped', 'VERB')8
('napkins', 'NOUN')2
('roast', 'NOUN')7
('fritters', 'NOUN')1
('consummately', 'ADV')1
('fond', 'ADJ')7
('standby', 'NOUN')2
('coachmen', 'NOUN')2
("1890's", 'NOUN')2
('kirkpatrick', 'NOUN')2
("antoine's", 'NOUN')3
('gastronomes', 'NOUN')1
("palace's", 'NOUN')2
('mandatory', 'ADJ')3
('splash', 'NOUN')3
('absinthe', 'NOUN')1
('pernod', 'NOUN')1
('parsley', 'NOUN')1
('spinach', 'NOUN')1
('underbedding', 'NOUN')1
('liqueur', 'NOUN')1
('unadorned', 'ADJ')1
('herbs', 'NOUN')3
('seasoning', 'NOUN')2
('fancy', 'VERB')2
('inspect', 'VERB')5
('rig', 'NOUN')4
('$2,300', 'NOUN')1
('replica', 'NOUN')1
('belmont', 'NOUN')2
('matchless', 'ADJ')2
('whips', 'NOUN')1
('shave', 'VERB')3
('reflection', 'NOUN')17
('french-polished', 'ADJ')1
('axles', 'NOUN')1
('greased', 'VERB')2
('roulette', 'NOUN')2
('groomed', 'VERB')2
('gloss', 'NOUN')1
('departing', 'VERB')5
('stepped', 'VERB')27
('jaw', 'NOUN')14
('drag', 'VERB')6
('funerals', 'NOUN')1
('whip', 'NOUN')10
('kedgeree', 'NOUN')4
('flake', 'VERB')1
('cupful', 'NOUN')3
('boiled', 'VERB')8
('haddock', 'NOUN')1
('minced', 'VERB')6
('hard-boiled', 'ADJ')2
('buttery', 'ADJ')1
('sauce', 'NOUN')19
('cream', 'NOUN')14
('cayenne', 'NOUN')2
('pepper', 'NOUN')11
('pinch', 'NOUN')4
('tablespoonful', 'NOUN')3
('onion', 'NOUN')9
('fried', 'VERB')5
('anchovy', 'NOUN')1
('heat', 'VERB')5
('omelet', 'NOUN')3
('ernest', 'NOUN')2
('arbogast', 'NOUN')3
('grill', 'NOUN')9
('piquant', 'ADJ')2
('coppery', 'ADJ')1
('delawares', 'NOUN')1
('fry', 'VERB')2
('butter', 'NOUN')16
('rub', 'VERB')2
('flour', 'NOUN')5
('celery', 'NOUN')4
('teaspoonful', 'NOUN')2
('chives', 'NOUN')1
('dash', 'NOUN')4
('nutmeg', 'NOUN')4
('jigger', 'NOUN')1
('sherry', 'NOUN')6
('fortnight', 'NOUN')1
('pierpont', 'NOUN')1
('restaurateur', 'NOUN')1
('nob', 'NOUN')1
('magnate', 'NOUN')1
('swarmed', 'VERB')2
('amused', 'VERB')4
('tiers', 'NOUN')2
('moorish', 'ADJ')2
('galleries', 'NOUN')1
('maelstrom', 'NOUN')1
('primacy', 'NOUN')4
('rubicund', 'ADJ')1
('slash-mouthed', 'ADJ')1
('winfield', 'NOUN')1
('gardenia', 'NOUN')1
('maroon', 'ADJ')1
('wellington', 'NOUN')1
('glistened', 'VERB')2
('currant', 'NOUN')1
('clatter', 'VERB')1
('reins', 'NOUN')7
('button', 'NOUN')10
('epsom', 'NOUN')1
('surtout', 'NOUN')1
('curve', 'NOUN')40
('cantered', 'VERB')1
('woodside', 'NOUN')1
('uplands', 'NOUN')1
('maps', 'NOUN')5
('inns', 'NOUN')1
('masculine', 'ADJ')6
('agreeable', 'ADJ')4
('tilt', 'VERB')2
('lounged', 'VERB')3
('dashboard', 'NOUN')1
('indulging', 'VERB')1
('cigar', 'NOUN')4
('clump', 'NOUN')3
('fork', 'NOUN')9
('twist', 'VERB')5
('sky-tapping', 'ADJ')1
('redwoods', 'NOUN')2
('furrowed', 'VERB')1
('ripple', 'VERB')1
('bakes', 'VERB')1
('splashes', 'VERB')1
('shoulder-high', 'ADJ')1
('tracts', 'NOUN')3
('fernery', 'NOUN')1
('seersucker', 'NOUN')1
('half-witted', 'ADJ')1
('mackintosh', 'NOUN')1
('establishments', 'NOUN')4
('disfavor', 'NOUN')1
('ink', 'NOUN')2
('denouncing', 'VERB')4
('copious', 'ADJ')1
('stables', 'NOUN')1
('bins', 'NOUN')2
("wright's", 'NOUN')9
('amongst', 'IN')2
('verandas', 'NOUN')1
('strewn', 'VERB')5
('rockers', 'NOUN')1
('sojourners', 'NOUN')1
('haunt', 'NOUN')2
('ambrose', 'NOUN')1
('bierce', 'NOUN')1
('acorns', 'NOUN')1
('oaks', 'NOUN')1
('pigs', 'NOUN')5
('carcass', 'NOUN')3
('sweepstakes', 'NOUN')1
('cured', 'VERB')2
('oak-log', 'NOUN')1
('esteemed', 'VERB')2
('roasted', 'VERB')4
('saucepan', 'NOUN')3
('gravy', 'NOUN')3
('teaspoonfuls', 'NOUN')1
('mustard', 'NOUN')19
('mashed', 'VERB')3
('garlic', 'NOUN')4
('cloves', 'NOUN')2
('gherkins', 'NOUN')1
('lime', 'NOUN')13
('simmered', 'VERB')1
('tablespoons', 'NOUN')7
('worcestershire', 'NOUN')3
('catsup', 'NOUN')3
('chutney', 'NOUN')1
('walnuts', 'NOUN')5
('pint', 'NOUN')8
('simmer', 'VERB')4
('kegful', 'NOUN')1
('kegs', 'NOUN')1
('mellowed', 'VERB')1
('vineyards', 'NOUN')3
('rather', 'DET')3
('nuisance', 'NOUN')3
('six-foot', 'ADJ')2
('fences', 'NOUN')15
('panthers', 'NOUN')1
('venison', 'NOUN')1
('pies', 'NOUN')4
('dryness', 'NOUN')2
('gunflint', 'NOUN')1
('almaden', 'NOUN')1
('apple', 'NOUN')7
('creeks', 'NOUN')1
('brimful', 'ADJ')1
('apples', 'NOUN')6
('wintry', 'ADJ')1
('crackle', 'NOUN')2
('dwellers', 'NOUN')1
('thereabouts', 'ADV')1
('bakery', 'NOUN')2
('oven', 'NOUN')4
('billets', 'NOUN')1
('pie', 'NOUN')10
('waning', 'VERB')2
('ledger', 'NOUN')4
('peel', 'VERB')2
('core', 'VERB')2
('slice', 'VERB')1
('apricot', 'NOUN')1
('preserve', 'NOUN')4
('clove', 'NOUN')1
('boil', 'NOUN')2
('gently', 'ADV')23
('strain', 'VERB')1
('poach', 'VERB')1
('syrup', 'NOUN')4
('drain', 'VERB')3
('pastry-lined', 'ADJ')1
('tablespoonfuls', 'NOUN')1
('softened', 'VERB')4
('gild', 'VERB')1
('yolk', 'NOUN')1
('textbook', 'NOUN')1
('sky-reaching', 'ADJ')1
('smoke-filled', 'ADJ')1
('art-filled', 'ADJ')1
('drama-filled', 'ADJ')1
('lush', 'ADJ')3
('unbelievable', 'ADJ')3
('extremes', 'NOUN')6
('hawaii', 'NOUN')15
